classification,visual_type,attribute_key,theme_style_variants,theme_values,theme_pointers,catalog_count,catalog_style_variants,catalog_dominant_value,catalog_sample_value,catalog_sample_source,match_status
only_in_theme,*,title.fontColor.solid.color,*,#007BA8,/visualStyles/*/*/title/0/fontColor/solid/color,0,,,,,n/a
only_in_theme,*,title.fontFamily,*,Segoe UI Semibold,/visualStyles/*/*/title/0/fontFamily,0,,,,,n/a
only_in_theme,*,title.fontSize,*,20,/visualStyles/*/*/title/0/fontSize,0,,,,,n/a
only_in_theme,*,title.show,*,false,/visualStyles/*/*/title/0/show,0,,,,,n/a
only_in_theme,*,totals.color.solid.color,*,#0C2340,/visualStyles/*/*/totals/0/color/solid/color,0,,,,,n/a
only_in_theme,*,totals.enableBackground,*,false,/visualStyles/*/*/totals/0/enableBackground,0,,,,,n/a
only_in_theme,*,totals.fontFamily,*,Segoe UI Semibold,/visualStyles/*/*/totals/0/fontFamily,0,,,,,n/a
only_in_theme,*,totals.fontSize,*,8,/visualStyles/*/*/totals/0/fontSize,0,,,,,n/a
only_in_theme,*,totals.labelDisplayUnits,*,1,/visualStyles/*/*/totals/0/labelDisplayUnits,0,,,,,n/a
only_in_theme,*,totals.labelPrecision,*,0,/visualStyles/*/*/totals/0/labelPrecision,0,,,,,n/a
only_in_theme,*,totals.show,*,true,/visualStyles/*/*/totals/0/show,0,,,,,n/a
only_in_theme,*,valueAxis.fontFamily,*,Segoe UI,/visualStyles/*/*/valueAxis/0/fontFamily,0,,,,,n/a
only_in_theme,*,valueAxis.fontSize,*,12,/visualStyles/*/*/valueAxis/0/fontSize,0,,,,,n/a
only_in_theme,*,valueAxis.gridlineShow,*,false,/visualStyles/*/*/valueAxis/0/gridlineShow,0,,,,,n/a
only_in_theme,*,valueAxis.labelColor.solid.color,*,#4B4C4A,/visualStyles/*/*/valueAxis/0/labelColor/solid/color,0,,,,,n/a
only_in_theme,*,valueAxis.labelDisplayUnits,*,1,/visualStyles/*/*/valueAxis/0/labelDisplayUnits,0,,,,,n/a
only_in_theme,*,valueAxis.labelPrecision,*,0,/visualStyles/*/*/valueAxis/0/labelPrecision,0,,,,,n/a
only_in_theme,*,valueAxis.showAxisTitle,*,false,/visualStyles/*/*/valueAxis/0/showAxisTitle,0,,,,,n/a
only_in_theme,*,values.fontColorPrimary.solid.color,*,#2E2E2E,/visualStyles/*/*/values/0/fontColorPrimary/solid/color,0,,,,,n/a
only_in_theme,*,values.fontColorSecondary.solid.color,*,#2E2E2E,/visualStyles/*/*/values/0/fontColorSecondary/solid/color,0,,,,,n/a
only_in_theme,*,values.fontFamily,*,Segoe UI Semibold,/visualStyles/*/*/values/0/fontFamily,0,,,,,n/a
only_in_theme,*,values.fontSize,*,10,/visualStyles/*/*/values/0/fontSize,0,,,,,n/a
only_in_theme,*,y2Axis.show,*,false,/visualStyles/*/*/y2Axis/0/show,0,,,,,n/a
only_in_theme,*,zoom.show,*,false,/visualStyles/*/*/zoom/0/show,0,,,,,n/a
only_in_scans,actionButton,fill.show,,,,4,Style 2,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json,n/a
only_in_scans,actionButton,fill[id=default].fillColor.solid.color,,,,4,Style 2,"ThemeDataColor(ColorId=0,Percent=0)","ThemeDataColor(ColorId=0,Percent=0)",3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json,n/a
only_in_scans,actionButton,fill[id=default].transparency,,,,4,Style 2,0,0,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json,n/a
